"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.32214087421777","7.30052755926926","7.23111281343016","7.16748413916672","7.11874558714546","7.17185848253337","7.24158560753141","7.24718319562591","7.2303455959626","7.14019270755284","7.05937351376361","7.08038288520119","7.08633079678943","6.88125389186606","6.71766021612812","6.74424057372956","6.67252631835992","6.61607945380657","6.7003817879836","7.5490589185289","7.31170084734582","7.13502530874451","7.00745890641648","7.03124094282879","7.22284911085196","7.37321146112412","7.45504423783461","7.41715170735284","7.62024078558418","8.12084420678727","8.49589669439424",
"Afghanistan","AFG","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.6969995498657","10.746000289917","10.6909999847412","10.6750001907349","10.83899974823","10.7349996566772","10.6520004272461","10.6470003128052","10.6339998245239","10.6169996261597","10.5939998626709","10.7510004043579","10.668999671936","10.5830001831055","10.6420001983643","10.581000328064","10.6470003128052","10.5530004501343","10.6219997406006","10.6029996871948","10.4490003585815","10.5129995346069","10.3920001983643","10.3059997558594","11.5380001068115","12.7829999923706","14.0170001983643","13.923999786377","13.8809995651245","16.7830009460449","",
"Africa Western and Central","AFW","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.16018690517111","4.35530463458747","4.3894279122253","4.39123248160943","4.37700771050491","4.40227138081018","4.45405583258035","4.49809514059796","4.70670086705013","4.71120390929585","4.63089820695221","4.50356367039516","4.46938764934604","4.43031742902815","4.41567620408765","4.30307093437612","4.26789625398175","4.30749198673982","4.37458806022455","4.41744815111071","4.35142818263059","4.30015236059057","3.89457205323026","4.01589990020549","4.23184770015007","4.09689084784809","4.1078966216583","4.1968936280758","4.24916878368566","4.80879955824401","4.89820680061628",
"Angola","AGO","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.8289999961853","3.8050000667572","3.81900000572205","3.68799996376038","3.59299993515015","3.5460000038147","3.51200008392334","3.46700000762939","3.42199993133545","3.36500000953674","3.30699992179871","3.22499990463257","3.20000004768372","3.12199997901917","3.0550000667572","3.00500011444092","2.93799996376038","2.88599991798401","2.85199999809265","10.9040002822876","7.71700000762939","8.15900039672852","8.66499996185303","9.14599990844727","9.17199993133545","9.19600009918213","9.17099952697754","9.18099975585938","9.16399955749512","9.89599990844727","10.1219997406006",
"Albania","ALB","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2720003128052","27.0830001831055","22.996000289917","18.8969993591309","14.1090002059937","12.9169998168945","15.7340002059937","19.7779998779297","20.3959999084473","18.5410003662109","18.9479999542236","18.2770004272461","17.3959999084473","16.7019996643066","16.4190006256104","16.0820007324219","16.3980007171631","13.7430000305176","15.706000328064","15.8769998550415","13.7480001449585","11.4899997711182","13.371000289917","15.4759998321533","17.1149997711182","14.4770002365112","12.5109996795654","11.8760004043579","11.3240003585815","12.7580003738403","12.6090002059937",
"Andorra","AND","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.438793507762","15.2385922009077","16.8080109049199","17.4135557873426","18.0725081651625","16.3131985105274","16.5459347885451","16.5160766116388","16.4931677673933","17.8943840580525","17.7703619306651","18.2716058188712","18.0714203001778","18.2711669392017","17.8758357845506","17.3131163974283","16.2248358660984","16.2585698771642","17.8199303003612","18.3720915828283","19.3510395254241","19.8709613813595","19.8312552898477","20.0489994186464","20.4419154137496","20.4081445908524","20.7673790079884","20.0584585497869","19.8780209152609","20.1974673432538","20.2106449125409",
"United Arab Emirates","ARE","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.59599995613098","2.53099989891052","2.48900008201599","2.41100001335144","2.36100006103516","2.44000005722046","2.50399994850159","2.62100005149841","2.68300008773804","2.71600008010864","3.6489999294281","4.52099990844727","5.32499980926514","6.17399978637695","7.1100001335144","6.78499984741211","6.65399980545044","6.41599988937378","6.29199981689453","5.9229998588562","5.56599998474121","5.31599998474121","5.03200006484985","4.76700019836426","4.49100017547607","4.25099992752075","7.5789999961853","6.25699996948242","5.98999977111816","5.81799983978271","6.7960000038147",
"Argentina","ARG","Unemployment, female (% of female labor force) (modeled ILO estimate)","SL.UEM.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7480001449585","6.71099996566772","12.5579996109009","13.9270000457764","22.2119998931885","19.2000007629395","17.6410007476807","14.0340003967285","15.1560001373291","16.3589992523193","17.1909999847412","18.8150005340576","17.5909996032715","15.8219995498657","13.6000003814697","12.4340000152588","10.4969997406006","9.75500011444092","9.87399959564209","9.21399974822998","8.52400016784668","8.84799957275391","8.50800037384033","8.39299964904785","8.64500045776367","9.25","9.49100017547607","10.5629997253418","10.7119998931885","12.3900003433228","9.85799980163574",
